timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO
2026-02-01T23:22:45.768088,bullshark,defense_memory,speculative,1,94.8,82.58450961112976,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T23:24:08.362397,bullshark,defense_memory,speculative,2,94.8,82.5383632183075,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T23:25:29.758926,bullshark,defense_memory,speculative,3,92.5,81.34269857406616,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T23:26:52.423043,bullshark,defense_memory,speculative,4,91.8,82.60934638977051,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T23:28:14.092642,bullshark,defense_memory,speculative,5,93.8,81.61488890647888,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T23:29:36.234222,bullshark,defense_network,speculative,1,93.9,82.08396124839783,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T23:30:57.293382,bullshark,defense_network,speculative,2,94.5,81.00610566139221,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T23:32:19.374612,bullshark,defense_network,speculative,3,92.9,82.02588987350464,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T23:33:41.240795,bullshark,defense_network,speculative,4,94.6,81.8107442855835,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T23:35:03.274316,bullshark,defense_network,speculative,5,93.3,81.9773519039154,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T23:36:23.522014,bullshark,defense_network,speculative,1,93.9,80.19338655471802,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T23:37:42.882459,bullshark,defense_network,speculative,2,78.3,79.30621075630188,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T23:39:02.323881,bullshark,defense_network,speculative,3,88.6,79.38946437835693,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T23:40:23.324110,bullshark,defense_network,speculative,4,91.7,80.94537687301636,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T23:41:45.335730,bullshark,defense_network,speculative,5,94.8,81.96243858337402,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T23:43:05.975760,bullshark,defense_network,speculative,1,93.8,80.58773732185364,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T23:44:27.178059,bullshark,defense_network,speculative,2,92.4,81.14910387992859,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T23:45:48.203705,bullshark,defense_network,speculative,3,89.3,80.96944952011108,0,,,,,,,5000,,,,,,,,,,,,,,,,
