timestamp,protocol,experiment,attack_mode,attack_type,rep,asr,asr_l1,asr_l2,asr_histogram,duration,exit_code,NUM_NODES,ATTACKER_RATIO,ATTACKER_ID,FRONT_ATTACKER_ID,BACK_ATTACKER_ID,VICTIM_ID,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,VICTIM_COUNT,ATTACK_TYPE,SANDWICH_METRIC_MODE,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-03-31T01:57:34.317994,mysticeti,simple,speculative,backrun,2,100.00,33.04,66.09,"{""1"": 38, ""10+"": 23, ""2"": 38, ""3"": 14, ""6"": 2}",2.5760488510131836,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:42.106672,mysticeti,simple,speculative,backrun,3,100.00,35.11,70.23,"{""1"": 46, ""10+"": 23, ""2"": 46, ""3"": 15, ""7"": 1}",2.7816648483276367,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:49.669272,mysticeti,simple,speculative,backrun,4,100.00,31.43,62.86,"{""1"": 33, ""10+"": 24, ""2"": 33, ""3"": 14, ""7"": 1}",2.550917148590088,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:57.354752,mysticeti,simple,speculative,backrun,5,97.39,32.17,60.87,"{""1"": 37, ""10+"": 27, ""2"": 33, ""3"": 14, ""5"": 1}",2.67130708694458,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:58:21.140145,mysticeti,simple,sluggish,backrun,1,95.24,30.95,61.9,"{""1"": 39, ""10+"": 20, ""2"": 39, ""3"": 22}",18.708208322525024,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:58:42.384913,mysticeti,simple,sluggish,backrun,2,100.00,31.68,63.37,"{""1"": 32, ""10+"": 20, ""2"": 32, ""3"": 17}",16.230599880218506,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:59:05.428773,mysticeti,simple,sluggish,backrun,3,100.00,38.39,59.82,"{""1"": 43, ""10+"": 21, ""2"": 24, ""3"": 24}",18.0381019115448,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:59:27.962308,mysticeti,simple,sluggish,backrun,4,85.80,32.54,62.13,"{""1"": 55, ""2"": 50, ""3"": 40}",17.519012212753296,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:59:50.198465,mysticeti,simple,sluggish,backrun,5,100.00,33.64,67.27,"{""1"": 37, ""10+"": 21, ""2"": 37, ""3"": 15}",17.226264238357544,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:10:45.343232,autobahn,simple,fissure,backrun,4,51.98,11.76,23.26,"{""1"": 86, ""10+"": 37, ""2"": 84, ""3"": 27, ""4"": 29, ""5"": 32, ""6"": 24, ""7"": 13, ""8"": 27, ""9"": 21}",81.00592017173767,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
