timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-02-13T16:05:54.301815,autobahn,autobahn_k,fissure,3,53.09,75.8288185596466,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
2026-02-13T16:07:10.325348,autobahn,autobahn_k,fissure,4,51.39,71.0000216960907,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
2026-02-13T16:08:42.363732,autobahn,autobahn_k,fissure,5,64.71,87.01427102088928,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
2026-02-13T16:10:06.501794,autobahn,autobahn_fast_path,fissure,1,0.48,79.1250057220459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
2026-02-13T16:11:20.927054,autobahn,autobahn_fast_path,fissure,2,49.84,69.40276956558228,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
2026-02-13T16:12:39.330988,autobahn,autobahn_fast_path,fissure,3,50.12,73.3920066356659,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
2026-02-13T16:14:07.662795,autobahn,autobahn_fast_path,fissure,4,49.89,83.30744695663452,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
2026-02-13T16:15:27.820718,autobahn,autobahn_fast_path,fissure,5,49.85,75.14368510246277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
2026-02-13T16:16:42.229984,autobahn,autobahn_fast_path,fissure,1,49.98,69.38594770431519,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
2026-02-13T16:18:09.596512,autobahn,autobahn_fast_path,fissure,2,50.00,82.35275435447693,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
2026-02-13T16:19:34.730438,autobahn,autobahn_fast_path,fissure,3,49.94,80.1194109916687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
